name,age,IP,W,L,ERA,FIP,k9,bb9,hr9
Erick Fedde,32,141,4,13,5.48936170212766,5.19896617725145,5.29787234042553,4.27659574468085,1.21276595744681
JP Sears,29,135.666666666667,9,11,5.04176904176904,5.21376046864149,7.76167076167076,2.38820638820639,1.99017199017199
Tomoyuki Sugano,35,157,10,10,4.64331210191083,5.35806632632314,6.07643312101911,2.06369426751592,1.89171974522293
German Marquez,30,126.333333333333,3,16,6.69656992084433,5.47022873830237,5.91292875989446,3.41952506596306,1.63852242744063
Antonio Senzatela,30,130,4,15,6.64615384615385,5.48129023617126,5.05384615384615,3.25384615384615,1.52307692307692
Andrew Heaney,34,122.333333333333,5,10,5.51771117166213,5.58745246631169,6.32697547683924,2.94277929155313,1.83923705722071
Tyler Anderson,35,136.333333333333,2,8,4.55501222493888,5.59968406727902,6.86552567237164,3.76283618581907,1.84841075794621
Jake Irvin,28,180,9,13,5.7,5.63513639001741,6.2,3.1,1.9
Walker Buehler,30,126,10,7,4.92857142857143,5.65894591382693,6.57142857142857,4.35714285714286,1.57142857142857
Jack Kochanowicz,24,111,3,11,6.81081081081081,6.05405530893633,5.83783783783784,4.7027027027027,1.7027027027027
