yearID,rpg,hrpg,kpg,bbpg,avg
1927,4.79536571747627,0.395030709101061,1.9073143495254,2.9748743718593,0.282057249243658
1928,4.95163277880468,0.454405422057918,2.25631546518792,3.0403573629082,0.280948595654478
1929,5.34119033588686,0.54449027695934,2.10253388332351,3.2162639952858,0.289380902953514
1930,5.44427480916031,0.586870229007634,2.47786259541985,2.99664122137405,0.293913043478261
1931,4.66408616627398,0.408280040390441,2.70380343318748,2.97172669134971,0.276170383765321
1932,,,2.50203953561343,,
1933,4.54717655468192,0.428520371694067,2.65832737669764,2.92637598284489,0.27
1934,4.85404829545455,0.517045454545455,3.02095170454545,3.12890625,0.278050786470649
1935,4.83143049026192,0.520819341840161,2.73539288112827,3.05809267965077,0.279792797927979
1936,5.08694158075601,0.534020618556701,2.84089347079038,3.26838487972509,0.283983672479641
1937,4.64509068167605,0.516572858036273,2.84646654158849,3.0797373358349,0.276550270333574
1938,4.66624040920716,0.538682864450128,2.72506393861893,3.23976982097187,0.272902517868264
1939,4.58191906005222,0.529699738903394,2.81657963446475,3.20006527415144,0.27419501408536
1940,4.69304635761589,0.583774834437086,3.04304635761589,3.30993377483444,0.267194680747042
1941,4.45409181636727,0.497005988023952,3.01530272787758,3.40086493679308,0.262178814113359
1942,4.24966124661247,0.421747967479675,2.8960027100271,3.39329268292683,0.253386705578451
1943,4.03636363636364,0.331493506493507,2.7961038961039,3.26623376623377,0.255986505986506
1944,3.87367766023647,0.355320472930927,2.56347230864966,2.85158680771624,0.261431461054813
1945,3.9958118556701,0.360824742268041,2.62113402061856,3.08182989690722,0.260982407949749
1946,3.80043183220234,0.419802590993214,3.01110425663171,3.19123997532387,0.256847674186464
1947,3.99316290130797,0.515457788347206,2.73365041617123,3.23246135552913,0.262373887240356
1948,4.06442831215971,0.509376890502117,2.74531155474894,3.326981246219,0.263576575024574
1949,4.60725806451613,0.687096774193548,3.61129032258065,4.04516129032258,0.262716283479497
1950,4.85177705977383,0.837237479806139,3.86308562197092,4.02059773828756,0.265953809697841
1951,4.54721549636804,0.75181598062954,3.76957223567393,3.73325262308313,0.260871098571681
1952,4.17635189669088,0.686440677966102,4.19451170298628,3.54237288135593,0.252651582635548
1953,4.60725806451613,0.837096774193548,4.12016129032258,3.50362903225806,0.264232855277245
1954,4.37631366208569,0.782942603071948,4.12894098625707,3.65117219078416,0.261008387342737
1955,4.48500810372772,0.901134521880065,4.38573743922204,3.66612641815235,0.258523746859672
1956,4.45157384987894,0.925746569814366,4.64366424535916,3.63236481033091,0.258216466323221
1957,4.30607287449393,0.891497975708502,4.84372469635628,3.30971659919028,0.257520081030787
1958,4.28259109311741,0.906882591093117,4.95101214574899,3.29028340080972,0.257924057881112
1959,4.38327948303716,0.908723747980614,5.09127625201939,3.30533117932149,0.256673072816571
1960,4.31391585760518,0.86084142394822,5.18487055016181,3.3915857605178,0.255124145975671
1961,4.52517482517483,0.954545454545455,5.22797202797203,3.46048951048951,0.25832714980625
1962,4.46051819864281,0.925663170882171,5.4185687847008,3.37322640345466,0.257670208152645
1963,3.94688079061149,0.835083384805435,5.79771463866584,2.96201358863496,0.246261860964904
